id,name,businessName,sector,subSector,industry,location,district,phone,email,website,source,score,enrichmentLevel,validationStatus,createdAt,slug,socialLinks,enriched,folder,stage,whatsapp,keyPeople_name,keyPeople_title,keyPeople_email,keyPeople_linkedin,keyPeople_phone,keyPeople_source,_sources,_key_name,_key_phone,_source,input_id,link,title,category,address,open_hours,plus_code,review_count,review_rating,latitude,longitude,cid,status,reviews_link,timezone,price_range,data_id,place_id,reservations,order_online,menu,owner,complete_address,credit_cards_accepted,about,emails
MG-768e7caf-099,Ola Express (Alt),Ola Express (Alt),logistics,transport,logistics,"Garki, Abuja",Garki,+2347033528462,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,ola-express-alt,Not searched,True,logistics/Ola Express (Alt),discovered,YES,Abejide Michael Olarewaju,Abuja Branch Manager,,https://linkedin.com/in/abejide-michael-91071ab6,,websearch,summary; registry; folder,olaexpressalt,2347033528462,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-112,Pro Packers & Movers,Pro Packers & Movers,Logistics,movers,logistics,"Wuse 2, Abuja",Wuse 2,+2349073896565,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,pro-packers-and-movers,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,propackersmovers,2349073896565,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-121,Rivers Transport Company Ltd,Rivers Transport Company Ltd,logistics,transport,logistics,"Nyanya, Abuja",Nyanya,+2348036603788,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,rivers-transport-company-ltd,Not searched,True,logistics/Rivers Transport Company Ltd,discovered,YES,Rivers State Government,Owner (State-owned),,,,websearch,summary; registry; folder,riverstransportcompanyltd,2348036603788,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-125,Royal Mails Express,Royal Mails Express,Logistics,courier,logistics,"Wuse, Abuja",Wuse,+2348028256419,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,royal-mails-express,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,royalmailsexpress,2348028256419,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-136,Soldan Nigeria Limited,Soldan Nigeria Limited,logistics,logistics,logistics,"Bwari, Abuja",Bwari,+2347062043677,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,soldan-nigeria-limited,Not searched,True,logistics/Soldan Nigeria Limited,discovered,YES,Name not publicly listed,Owner/Managing Director,,,,websearch,summary; registry; folder,soldannigerialimited,2347062043677,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-152,The Movers,The Movers,logistics,moving,logistics,"Garki, Abuja",Garki,+2347034364029,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,the-movers,Not searched,True,logistics/The Movers,discovered,YES,Joshua Charles,Company Manager,,,,websearch,summary; registry; folder,themovers,2347034364029,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-035,Crystal Wheels,Crystal Wheels,Logistics,transport,logistics,"Wuse, Abuja",Wuse,+2348084068078,crystalwheelss@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,crystal-wheels,Not searched,True,,,YES,Yakub Adebayo,Chief Executive Officer,,https://linkedin.com/in/yakub-adebayo-4b1950327,2348084068078.0,websearch,summary; folder,crystalwheels,2348084068078,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-048,Etienergy Services Limited,Etienergy Services Limited,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348039293154,etienergysl@yahoo.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,etienergy-services-limited,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder,etienergyserviceslimited,2348039293154,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-049,Extraextreme Ventures,Extraextreme Ventures,Logistics,movers,logistics,"Wuse, Abuja",Wuse,+2348120361465,extraextremeventures@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,extraextreme-ventures,Not searched,True,,,YES,Oghogho Obaseki,Chief Executive Officer,,,,websearch,summary; folder,extraextremeventures,2348120361465,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-078,Krischek Haulage Services,Krischek Haulage Services,Logistics,haulage,logistics,"Jabi, Abuja",Jabi,+2347054571401,krischekengineering@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,krischek-haulage-services,Not searched,True,,,YES,Kris,Contact Person/Founder,,,,websearch,summary; folder,krischekhaulageservices,2347054571401,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-081,Lea's RoadRunners,Lea's RoadRunners,Logistics,logistics,logistics,"Wuse, Abuja",Wuse,+2348149576700,leasplacee@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,leas-roadrunners,Not searched,True,,,YES,Ebiyemi Alero Ogunniyi,Managing Director,,https://linkedin.com/in/ebiyemi-alero-ogunniyi-3551b662,,websearch,summary; folder,leasroadrunners,2348149576700,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-088,Moove Haulage,Moove Haulage,Logistics,haulage,logistics,"Dei Dei, Abuja",Dei Dei,+2347062296926,blekko101@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,moove-haulage,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,moovehaulage,2347062296926,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-143,Tarana Logistics and Procurement Ltd,Tarana Logistics and Procurement Ltd,Logistics,logistics,logistics,"Gaduwa, Abuja",Gaduwa,+2348056206426,tarana.enitan@gmail.com,,finelib.com,65.0,basic,valid,2026-06-18T18:20:24.879385,tarana-logistics-and-procurement-ltd,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder,taranalogisticsandprocurementltd,2348056206426,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-144,Teekachi Nigeria Limited,Teekachi Nigeria Limited,logistics,haulage,logistics,"Maitama, Abuja",Maitama,+2348038490939,teekachinig@gmail.com,,businesslist,65.0,basic,valid,2026-06-17T10:00:00Z,teekachi-nigeria-limited,Not searched,True,logistics/Teekachi Nigeria Limited,discovered,YES,Name not publicly listed,Managing Director,,,,websearch,summary; registry; folder,teekachinigerialimited,2348038490939,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-002,Abia Line Courier Services,Abia Line Courier Services,Logistics,courier,logistics,"Utako, Abuja",Utako,+2348037485226,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,abia-line-courier-services,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,abialinecourierservices,2348037485226,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-003,Abitex Express,Abitex Express,Logistics,courier,logistics,"Jabi, Abuja",Jabi,+2348031372727,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,abitex-express,Not searched,True,,,YES,Gabriel Olagbemi Abiodun,Director,,,,websearch,summary; folder,abitexexpress,2348031372727,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-036,D & P Relocation Services,D & P Relocation Services,Logistics,movers,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348064652270,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,d-and-p-relocation-services,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,dprelocationservices,2348064652270,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-043,Domestic and General Cargo Ltd,Domestic and General Cargo Ltd,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348033244969,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,domestic-and-general-cargo-ltd,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder,domesticandgeneralcargoltd,2348033244969,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-002,ANCAPS Logistics,,logistics,,,,Karu,+2347030704162,,,,,,,2026-06-17T10:00:00Z,,,,logistics/ANCAPS Logistics,discovered,,,,,,,,registry,ancapslogistics,2347030704162,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-008,Callmycab Services,,logistics,,,,Durumi,+2347083382017,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Callmycab Services,discovered,,,,,,,,registry,callmycabservices,2347083382017,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-012,Travelwell Limited,,logistics,travel,,,Garki,+2348033142721,info@travelwell.com.ng,travelwell.com.ng,finelib.com,90.0,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Travelwell Limited,discovered,YES,Victoria Ajala,Managing Director,,https://ng.linkedin.com/in/victoria-ajala-96b6142a,,websearch,registry; folder,travelwelllimited,2348033142721,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-016,Quartz Link Resources Ltd,,logistics,courier,,,Wuse,+2348036201133,info@quartzlinkresources.com,https://quartzlinkresources.com/,corporate.org.ng,90.0,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Quartz Link Resources Ltd,discovered,NO,CEO / Managing Director,MD / CEO,,,2348036201133.0,websearch,registry; folder; folder,quartzlinkresourcesltd,2348036201133,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-023,Auto Best Trackers Nigeria,,logistics,gps-tracking,,,Kubwa,+2348093038718,,autobesttrackers.com.ng,businesslist,75.0,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Auto Best Trackers Nigeria,discovered,YES,Saifullahi Adam Idris Tandama,Founder / CEO,,,,Facebook/websearch,registry; folder,autobesttrackersnigeria,2348093038718,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-025,Eaglenet Logistic Services Ltd,,logistics,,,,Airport Rd,+2348105570699,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Eaglenet Logistic Services Ltd,discovered,,,,,,,,registry,eaglenetlogisticservicesltd,2348105570699,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-027,Alele Movers,,logistics,,,,Galadima,+2348111107037,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Alele Movers,discovered,,,,,,,,registry,alelemovers,2348111107037,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
peace-mass-transit-limited,Peace Mass Transit Limited,Peace Mass Transit Limited,Logistics,Courier/Freight/Logistics,Logistics,"Lokoja, North-Central Nigeria",,07007322362,,,SearXNG North-Central logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,peacemasstransitlimited,07007322362,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
cross-country-limited,Cross Country Limited,Cross Country Limited,Logistics,Courier/Freight/Logistics,Logistics,"Lafia, North-Central Nigeria",,08028447950,,,SearXNG North-Central logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,crosscountrylimited,08028447950,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
ocenj-logistics,Ocenj Logistics,Ocenj Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2347066752649,,,websearch Abuja logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,ocenjlogistics,2347066752649,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
bykemessengers,BykeMessengers,BykeMessengers,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,08039886701,,,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder,bykemessengers,08039886701,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
aguxpress-logistics,AguXpress Logistics,AguXpress Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Awka, Southeast Nigeria",,07087673400,,https://www.aguxpress.com,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder,aguxpresslogistics,07087673400,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
prowise-logistics,Prowise Logistics,Prowise Logistics,Logistics,Courier/Transport/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,+2348149496307,,,websearch Southwest logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,prowiselogistics,2348149496307,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
keen-rides,KEEN Rides,KEEN Rides,Logistics,Courier/Freight/Logistics,Logistics,"Ado Ekiti, Southwest Nigeria",,08036284402,,,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,keenrides,08036284402,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
anthil-crest-limited,Anthil Crest Limited,Anthil Crest Limited,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348039645368,,,websearch Abuja logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,anthilcrestlimited,2348039645368,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
chisco-brothers-international,Chisco Brothers International,Chisco Brothers International,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2347088782104,,,websearch Abuja logistics,50.0,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder,chiscobrothersinternational,2347088782104,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
derron-shipping-logistics,Derron Shipping and Logistics Ltd,Derron Shipping and Logistics Ltd,Logistics,maritime,Logistics,"Lagos, Nigeria",,+2348032269251,dsl@derronshipping.com,https://derronshipping.com,SearXNG specialized logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,derronshippingandlogisticsltd,2348032269251,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
kos-deliveries,Kos Deliveries,Kos Deliveries,Logistics,Courier/Transport/Logistics,Logistics,"Akure, Southwest Nigeria",,+2348183460555,,,websearch Southwest logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,kosdeliveries,2348183460555,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
tranex-courier-onitsha,TRANEX Courier Onitsha,TRANEX Courier (Trans-Nationwide Express Plc),Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,08123682573,,,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,tranexcouriertransnationwideexpressplc,08123682573,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
first-move-logistics,First Move Logistics,First Move Logistics,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,+2348085273309,,,websearch South-South logistics,50.0,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder,firstmovelogistics,2348085273309,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
mugathman-motors-logistics-ltd,Mugathman Motors & Logistics Ltd,Mugathman Motors & Logistics Ltd,Logistics,Logistics/Haulage,Logistics,"Kano, Northern Nigeria",,+2348033395299,,mugathmanmotors.com,websearch Northern logistics,50.0,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder,mugathmanmotorslogisticsltd,2348033395299,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
qwirck-logistics-ltd,Qwirck Logistics Ltd,Qwirck Logistics Ltd,Logistics,Courier/Freight/Logistics,Logistics,"Akure, Southwest Nigeria",,08072971066,,,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,qwircklogisticsltd,08072971066,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
ascent-transport-management,Ascent Transport Management,Ascent Transport Management,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,09033933118,,,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,ascenttransportmanagement,09033933118,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
courierplus-services,CourierPlus Services,CourierPlus Services,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,+2349038868669,,,websearch Southwest logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,courierplusservices,2349038868669,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
nahco-logistics-services-limited,Nahco Logistics Services Limited,Nahco Logistics Services Limited,Logistics,Freight Forwarding/Customs Clearing,Logistics,"Lagos, Nigeria",,+2349099209056,info@nahcologistics.com,https://nahcologistics.com,websearch Lagos logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,nahcologisticsserviceslimited,2349099209056,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
speedpro-logistics,SpeedPro Logistics,SpeedPro Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Oyo Town, Southwest Nigeria",,07075341836,,https://speedprologistics.com,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,speedprologistics,07075341836,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony-transport-services-ltd,Harmony Transport Services Ltd,Harmony Transport Services Ltd,Logistics,Courier/Transport/Logistics,Logistics,"Ilorin, Southwest Nigeria",,+2348140685304,,,websearch Southwest logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,harmonytransportservicesltd,2348140685304,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
peculiar-golden-heritage-intl,Peculiar Golden Heritage Intl,Peculiar Golden Heritage Intl,Logistics,Courier/Freight/Logistics,Logistics,"Ifo, Southwest Nigeria",,08023425018,,,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,peculiargoldenheritageintl,08023425018,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
advance-logistics-services,Advance Logistics Services Ltd,Advance Logistics Services Ltd,Logistics,freight,Logistics,"Lagos, Nigeria",,+2348078929900,info@advancelogisticservices.com,https://advancelogisticservices.com,SearXNG specialized logistics,50.0,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder,advancelogisticsservicesltd,2348078929900,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
mfc-international-agencies-ltd,MFC International Agencies Ltd,MFC International Agencies Ltd,Logistics,Clearing & Forwarding,Logistics,"Calabar, South-South Nigeria",,+2348037195423,,,websearch South-South logistics,50.0,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder,mfcinternationalagenciesltd,2348037195423,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
dhl-abakaliki,DHL Abakaliki,DHL International,Logistics,Courier/Freight/Logistics,Logistics,"Abakaliki, Southeast Nigeria",,07064771413,,https://www.dhl.com,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,dhlinternational,07064771413,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
red-star-express-fedex-onitsha,Red Star Express Fedex Onitsha,Red Star Express Fedex Plc,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,09062071819,,https://redstarplc.com,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,redstarexpressfedexplc,09062071819,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
kay-unique-nigeria,Kay Unique Nigeria Ltd,Kay Unique Nigeria Ltd,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,+2348023500207,kayuniq@gmail.com,https://kayuniquenigerialtd.com.ng,SearXNG specialized logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,kayuniquenigerialtd,2348023500207,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
speedaf-logistics,Speedaf Logistics,Speedaf Logistics,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,+2348000707070,,http://www.speedaf.com/,websearch South-South logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,speedaflogistics,2348000707070,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
abc-cargo-express-onitsha,ABC Cargo Express Onitsha,ABC Cargo Express,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,08142552426,,,SearXNG Southeast logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,abccargoexpress,08142552426,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
dhl-office-ilesa,DHL Office Ilesa,DHL Office Ilesa,Logistics,Courier/Freight/Logistics,Logistics,"Ilesa, Southwest Nigeria",,08033529218,,https://www.dhl.com,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder,dhlofficeilesa,08033529218,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-tali-transport,Tim Tali Transport,Tim Tali Transport,Logistics,Courier/Freight/Logistics,Logistics,"Jos, North-Central Nigeria",,08082726332,,,SearXNG North-Central logistics,50.0,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder,timtalitransport,08082726332,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
errande-ltd,Errande Ltd,Errande Ltd,Logistics,Logistics,Logistics,"Kaduna, Northern Nigeria",,07028163741,,,websearch Northern logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,errandeltd,07028163741,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
gatec-technical-and-logistic-services,Gatec Technical and Logistic Services,Gatec Technical and Logistic Services,Logistics,Courier/Freight/Logistics,Logistics,"Agbara, Southwest Nigeria",,08068442058,,,SearXNG Southwest logistics,50.0,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder,gatectechnicalandlogisticservices,08068442058,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
steve-imafidon-and-sons-limited,Steve Imafidon And Sons Limited,Steve Imafidon And Sons Limited,Logistics,Freight/Logistics,Logistics,"Benin City, South-South Nigeria",,+2348053198000,,,websearch South-South logistics,50.0,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder,steveimafidonandsonslimited,2348053198000,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-nationwide-express-plc,Trans Nationwide Express Plc,Trans Nationwide Express Plc,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348025697917,,,websearch Abuja logistics,50.0,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder,transnationwideexpressplc,2348025697917,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
