source,id,name,businessName,title,sector,subSector,industry,location,district,address,phone,email,emails,website,score,enrichmentLevel,validationStatus,whatsapp,review_count,review_rating,latitude,longitude,place_id,socialLinks,slug,createdAt
existing_db,MG-768e7caf-152,The Movers,The Movers,,logistics,moving,logistics,"Garki, Abuja",Garki,,+2347034364029,,,,50,basic,valid,YES,,,,,,Not searched,the-movers,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-035,Crystal Wheels,Crystal Wheels,,Logistics,transport,logistics,"Wuse, Abuja",Wuse,,+2348084068078,crystalwheelss@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,crystal-wheels,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-048,Etienergy Services Limited,Etienergy Services Limited,,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,,+2348039293154,etienergysl@yahoo.com,,,65,basic,valid,YES,,,,,,Not searched,etienergy-services-limited,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-049,Extraextreme Ventures,Extraextreme Ventures,,Logistics,movers,logistics,"Wuse, Abuja",Wuse,,+2348120361465,extraextremeventures@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,extraextreme-ventures,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-078,Krischek Haulage Services,Krischek Haulage Services,,Logistics,haulage,logistics,"Jabi, Abuja",Jabi,,+2347054571401,krischekengineering@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,krischek-haulage-services,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-081,Lea's RoadRunners,Lea's RoadRunners,,Logistics,logistics,logistics,"Wuse, Abuja",Wuse,,+2348149576700,leasplacee@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,leas-roadrunners,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-088,Moove Haulage,Moove Haulage,,Logistics,haulage,logistics,"Dei Dei, Abuja",Dei Dei,,+2347062296926,blekko101@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,moove-haulage,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-143,Tarana Logistics and Procurement Ltd,Tarana Logistics and Procurement Ltd,,Logistics,logistics,logistics,"Gaduwa, Abuja",Gaduwa,,+2348056206426,tarana.enitan@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,tarana-logistics-and-procurement-ltd,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-144,Teekachi Nigeria Limited,Teekachi Nigeria Limited,,logistics,haulage,logistics,"Maitama, Abuja",Maitama,,+2348038490939,teekachinig@gmail.com,,,65,basic,valid,YES,,,,,,Not searched,teekachi-nigeria-limited,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-002,Abia Line Courier Services,Abia Line Courier Services,,Logistics,courier,logistics,"Utako, Abuja",Utako,,+2348037485226,,,,50,basic,valid,YES,,,,,,Not searched,abia-line-courier-services,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-003,Abitex Express,Abitex Express,,Logistics,courier,logistics,"Jabi, Abuja",Jabi,,+2348031372727,,,,50,basic,valid,YES,,,,,,Not searched,abitex-express,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-036,D & P Relocation Services,D & P Relocation Services,,Logistics,movers,logistics,"Gwarinpa, Abuja",Gwarinpa,,+2348064652270,,,,50,basic,valid,YES,,,,,,Not searched,d-and-p-relocation-services,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-043,Domestic and General Cargo Ltd,Domestic and General Cargo Ltd,,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,,+2348033244969,,,,50,basic,valid,YES,,,,,,Not searched,domestic-and-general-cargo-ltd,2026-06-18T18:20:24.879385
existing_db,LOG-002,ANCAPS Logistics,,,logistics,,,,Karu,,+2347030704162,,,,,,,,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-008,Callmycab Services,,,logistics,,,,Durumi,,+2347083382017,,,,,,,,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-012,Travelwell Limited,,,logistics,travel,,,Garki,,+2348033142721,info@travelwell.com.ng,,travelwell.com.ng,90,deep,valid,YES,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-016,Quartz Link Resources Ltd,,,logistics,courier,,,Wuse,,+2348036201133,info@quartzlinkresources.com,,https://quartzlinkresources.com/,90,deep,valid,NO,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-023,Auto Best Trackers Nigeria,,,logistics,gps-tracking,,,Kubwa,,+2348093038718,,,autobesttrackers.com.ng,75,deep,valid,YES,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-025,Eaglenet Logistic Services Ltd,,,logistics,,,,Airport Rd,,+2348105570699,,,,,,,,,,,,,,,2026-06-17T10:00:00Z
existing_db,LOG-027,Alele Movers,,,logistics,,,,Galadima,,+2348111107037,,,,,,,,,,,,,,,2026-06-17T10:00:00Z
existing_db,peace-mass-transit-limited,Peace Mass Transit Limited,Peace Mass Transit Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Lokoja, North-Central Nigeria",,,07007322362,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,cross-country-limited,Cross Country Limited,Cross Country Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Lafia, North-Central Nigeria",,,08028447950,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,ocenj-logistics,Ocenj Logistics,Ocenj Logistics,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2347066752649,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,bykemessengers,BykeMessengers,BykeMessengers,,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,,08039886701,,,,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,aguxpress-logistics,AguXpress Logistics,AguXpress Logistics,,Logistics,Courier/Freight/Logistics,Logistics,"Awka, Southeast Nigeria",,,07087673400,,,https://www.aguxpress.com,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,prowise-logistics,Prowise Logistics,Prowise Logistics,,Logistics,Courier/Transport/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,,+2348149496307,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,keen-rides,KEEN Rides,KEEN Rides,,Logistics,Courier/Freight/Logistics,Logistics,"Ado Ekiti, Southwest Nigeria",,,08036284402,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,anthil-crest-limited,Anthil Crest Limited,Anthil Crest Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348039645368,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,chisco-brothers-international,Chisco Brothers International,Chisco Brothers International,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2347088782104,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,derron-shipping-logistics,Derron Shipping and Logistics Ltd,Derron Shipping and Logistics Ltd,,Logistics,maritime,Logistics,"Lagos, Nigeria",,,+2348032269251,dsl@derronshipping.com,,https://derronshipping.com,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,kos-deliveries,Kos Deliveries,Kos Deliveries,,Logistics,Courier/Transport/Logistics,Logistics,"Akure, Southwest Nigeria",,,+2348183460555,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,tranex-courier-onitsha,TRANEX Courier Onitsha,TRANEX Courier (Trans-Nationwide Express Plc),,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,,08123682573,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,first-move-logistics,First Move Logistics,First Move Logistics,,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,,+2348085273309,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,mugathman-motors-logistics-ltd,Mugathman Motors & Logistics Ltd,Mugathman Motors & Logistics Ltd,,Logistics,Logistics/Haulage,Logistics,"Kano, Northern Nigeria",,,+2348033395299,,,mugathmanmotors.com,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,qwirck-logistics-ltd,Qwirck Logistics Ltd,Qwirck Logistics Ltd,,Logistics,Courier/Freight/Logistics,Logistics,"Akure, Southwest Nigeria",,,08072971066,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,ascent-transport-management,Ascent Transport Management,Ascent Transport Management,,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,,09033933118,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,courierplus-services,CourierPlus Services,CourierPlus Services,,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,,+2349038868669,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,nahco-logistics-services-limited,Nahco Logistics Services Limited,Nahco Logistics Services Limited,,Logistics,Freight Forwarding/Customs Clearing,Logistics,"Lagos, Nigeria",,,+2349099209056,info@nahcologistics.com,,https://nahcologistics.com,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,speedpro-logistics,SpeedPro Logistics,SpeedPro Logistics,,Logistics,Courier/Freight/Logistics,Logistics,"Oyo Town, Southwest Nigeria",,,07075341836,,,https://speedprologistics.com,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,harmony-transport-services-ltd,Harmony Transport Services Ltd,Harmony Transport Services Ltd,,Logistics,Courier/Transport/Logistics,Logistics,"Ilorin, Southwest Nigeria",,,+2348140685304,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,peculiar-golden-heritage-intl,Peculiar Golden Heritage Intl,Peculiar Golden Heritage Intl,,Logistics,Courier/Freight/Logistics,Logistics,"Ifo, Southwest Nigeria",,,08023425018,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,advance-logistics-services,Advance Logistics Services Ltd,Advance Logistics Services Ltd,,Logistics,freight,Logistics,"Lagos, Nigeria",,,+2348078929900,info@advancelogisticservices.com,,https://advancelogisticservices.com,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,mfc-international-agencies-ltd,MFC International Agencies Ltd,MFC International Agencies Ltd,,Logistics,Clearing & Forwarding,Logistics,"Calabar, South-South Nigeria",,,+2348037195423,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,dhl-abakaliki,DHL Abakaliki,DHL International,,Logistics,Courier/Freight/Logistics,Logistics,"Abakaliki, Southeast Nigeria",,,07064771413,,,https://www.dhl.com,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,red-star-express-fedex-onitsha,Red Star Express Fedex Onitsha,Red Star Express Fedex Plc,,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,,09062071819,,,https://redstarplc.com,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,kay-unique-nigeria,Kay Unique Nigeria Ltd,Kay Unique Nigeria Ltd,,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,,+2348023500207,kayuniq@gmail.com,,https://kayuniquenigerialtd.com.ng,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,speedaf-logistics,Speedaf Logistics,Speedaf Logistics,,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,,+2348000707070,,,http://www.speedaf.com/,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,abc-cargo-express-onitsha,ABC Cargo Express Onitsha,ABC Cargo Express,,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,,08142552426,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,dhl-office-ilesa,DHL Office Ilesa,DHL Office Ilesa,,Logistics,Courier/Freight/Logistics,Logistics,"Ilesa, Southwest Nigeria",,,08033529218,,,https://www.dhl.com,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,tim-tali-transport,Tim Tali Transport,Tim Tali Transport,,Logistics,Courier/Freight/Logistics,Logistics,"Jos, North-Central Nigeria",,,08082726332,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,errande-ltd,Errande Ltd,Errande Ltd,,Logistics,Logistics,Logistics,"Kaduna, Northern Nigeria",,,07028163741,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,gatec-technical-and-logistic-services,Gatec Technical and Logistic Services,Gatec Technical and Logistic Services,,Logistics,Courier/Freight/Logistics,Logistics,"Agbara, Southwest Nigeria",,,08068442058,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,steve-imafidon-and-sons-limited,Steve Imafidon And Sons Limited,Steve Imafidon And Sons Limited,,Logistics,Freight/Logistics,Logistics,"Benin City, South-South Nigeria",,,+2348053198000,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,trans-nationwide-express-plc,Trans Nationwide Express Plc,Trans Nationwide Express Plc,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348025697917,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,blue-link-logistics-ltd,Blue Link Logistics Ltd,Blue Link Logistics Ltd,,Logistics,Logistics,Logistics,"Kaduna, Northern Nigeria",,,08036382617,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,ifex-express-limited,Ifex Express Limited,Ifex Express Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348070591802,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,eclipse-delivery-services,Eclipse Delivery Services,Eclipse Delivery Services,,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,,+2348187154281,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,mds-logistics-limited,MDS Logistics Limited,MDS Logistics Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Ilorin, Southwest Nigeria",,,08159890198,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,sunny-ebi-multi-systems-limited,Sunny-Ebi Multi Systems Limited,Sunny-Ebi Multi Systems Limited,,Logistics,Oil & Gas Logistics,Logistics,"Warri, South-South Nigeria",,,+2348064403149,,,http://www.sunny-ebimultisystemsltd.com/,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,young-shall-grow-motors,Young Shall Grow Motors,Young Shall Grow Motors,,Logistics,Courier/Freight/Logistics,Logistics,"Jos, North-Central Nigeria",,,08065587947,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,o3-transport-services,O3 Transport Services,O3 Transport Services,,Logistics,Courier/Freight/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,,08136413558,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,med-co,Med Co.,Med Co.,,Logistics,Logistics,Logistics,"Kano, Northern Nigeria",,,07036133681,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,ocean-port-marine-logistics,Ocean and Port Marine Logistics Ltd,Ocean and Port Marine Logistics Ltd,,Logistics,maritime,Logistics,"Lagos, Nigeria",,,+2348033254977,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,halcyon-cavic-nigeria-limited,Halcyon Cavic Nigeria Limited,Halcyon Cavic Nigeria Limited,,Logistics,Oil & Gas Logistics,Logistics,"Warri, South-South Nigeria",,,+2349093020415,,,www.halcyoncavic.com,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,bm-global-import-export,BM Global Import and Export Co Ltd,BM Global Import and Export Co Ltd,,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,,+2348130010080,contacts@bmglobal.ng,,https://bmglobal.ng,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,shoreline-logistics-nigeria-ltd,Shoreline Logistics Nigeria Ltd,Shoreline Logistics Nigeria Ltd,,Logistics,Port/Marine Logistics,Logistics,"Calabar, South-South Nigeria",,,+2348080261713,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,the-lords-express-limited,The Lords Express Limited,The Lords Express Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,,09099154832,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,gac-nigeria,GAC Nigeria,GAC Nigeria,,Logistics,maritime,Logistics,"Lagos, Nigeria",,,+2348054090033,,,https://gac.com/nigeria,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,MG-768e7caf-165,Valgee Transport Services,,,Logistics,transport,,,Wuse 2,,+2349068652712,hi@valgee.com,,valgee.com,90,deep,valid,YES,,,,,,,,2026-06-18T18:20:24.879385
existing_db,lagos-logistics-limited,Lagos Logistics Limited,Lagos Logistics Limited,,Logistics,Logistics Services,Logistics,"Lagos, Nigeria",,,+2348137632121,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,tradeways-express-courier,Tradeways Express Courier,Tradeways Express - Courier Services,,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,,08039470559,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,universal-amity-emporium-ltd,Universal Amity Emporium Ltd,Universal Amity Emporium Ltd,,Logistics,Courier/Transport/Logistics,Logistics,"Ilorin, Southwest Nigeria",,,+2348108385747,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,chibyke-global-shipping-service,Chibyke Global Shipping Service,Chibyke Global Shipping Service,,Logistics,Shipping/Freight,Logistics,"Onitsha, South-South Nigeria",,,+2348037098314,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,macdon-express-courier-services,MacDon Express Courier Services,MacDon Express Courier Services,,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,,08073270229,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,hammsville-logistics-ltd,Hammsville Logistics Ltd,Hammsville Logistics Ltd,,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,,+2347052345167,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,southern-connect-limited,Southern Connect Limited,Southern Connect Limited,,Logistics,Courier/Transport/Logistics,Logistics,"Akure, Southwest Nigeria",,,+2347044440187,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,abc-transport,ABC Transport,ABC Transport,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348142552437,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,whole-deliveries,Whole Deliveries,Whole Deliveries,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2349061844629,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,abc-transport-shuttle-services,ABC Transport Shuttle Services,ABC Transport Shuttle Services,,Logistics,Transport/Logistics,Logistics,"Kaduna, Northern Nigeria",,,08034910292,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,wolid-international-services,Wolid International Services Ltd,Wolid International Services Ltd,,Logistics,freight,Logistics,"Lagos, Nigeria",,,+2347044064866,wolid_idowushipping@yahoo.com,,https://wolidinternationalltd.net,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,ekesons-parcel-services-limited,Ekesons Parcel Services Limited,Ekesons Parcel Services Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348127912995,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,nuelhe-multi-resource,Nuelhe Multi-Resource Solutions Ltd,Nuelhe Multi-Resource Solutions Ltd,,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,,+2349066044298,contact@nuelhe-mrsl.com,,https://nuelhe-mrsl.com,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,reliance-freight-services,Reliance Freight Services,Reliance Freight Services,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+23493148401,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,dan-dollars-group-limited,Dan Dollars Group Limited,Dan Dollars Group Limited,,Logistics,Courier/Freight/Logistics,Logistics,"Aba, Southeast Nigeria",,,08036767569,,,,50,basic,pending,NO,,,,,,,,2026-06-30
existing_db,MG-768e7caf-171,Zenith Carex International,,,Logistics,courier,,,Garki,,+2347032114180,info@zenithcarex.com,,zenithcarex.com,90,deep,valid,YES,,,,,,,,2026-06-18T18:20:24.879385
existing_db,happy-helpers,Happy Helpers,Happy Helpers,,Logistics,Courier/Transport/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,,+2348064356821,,,,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,swish-nigeria,Swish Nigeria,Swish Nigeria,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348068343602,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,haul-affairs-logistics-nigeria-limited,Haul Affairs Logistics Nigeria Limited,Haul Affairs Logistics Nigeria Limited,,Logistics,Freight Forwarding/Haulage,Logistics,"Lagos, Nigeria",,,+2348062976558,info@haulaffairs.com,,https://haulaffairs.com,50,basic,pending,YES,,,,,,,,2026-06-29
existing_db,pellucid-prime-logistics,Pellucid Prime Logistics,Pellucid Prime,,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,,07062694448,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,nipost-totoro-branch,NIPOST Totoro Branch,NIPOST Totoro Branch,,Logistics,Courier/Freight/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,,08079037402,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,MG-768e7caf-134,Asfranz Movers Ltd,,,Logistics,logistics,,,Wuse 2,,+2347064280114,asfranzmovers@gmail.com,,https://asfranzmoversltd.com,90,deep,valid,NO,,,,,,,,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-030,City Errands,,,Logistics,courier,,,Lokogoma,,+2347061111160,info@cityerrandsng.com,,https://cityerrandsng.com/,90,deep,valid,YES,,,,,,,,2026-06-18T18:20:24.879385
existing_db,fortunecrest-services-limited,FortuneCrest Services Limited,FortuneCrest Services Limited,,Logistics,cold chain,Logistics,"Port Harcourt, Nigeria",,,+2349164792326,fortcrest@yahoo.com,,https://fortunecrestng.com,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,ups-center-abuja,UPS Center Abuja,UPS Center Abuja,,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,,+2348157896287,,,,50,basic,pending,NO,,,,,,,,2026-06-29
existing_db,oloyede-and-sons-nigeria-enterprise,Oloyede and Sons Nigeria Enterprise,Oloyede and Sons Nigeria Enterprise,,Logistics,Courier/Freight/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,,08066481626,,,,50,basic,pending,UNKNOWN,,,,,,,,2026-06-30
existing_db,cvi-logistics,CVI Logistics,CVI Logistics,,Logistics,Courier/Freight/Logistics,Logistics,"Aba, Southeast Nigeria",,,08104816445,,,,50,basic,pending,YES,,,,,,,,2026-06-30
existing_db,kj-cargo-and-logistics-services-ltd,KJ Cargo and Logistics Services Ltd,KJ Cargo and Logistics Services Ltd,,Logistics,Cargo/Logistics,Logistics,"Lagos, Nigeria",,,+2348133162212,,,,50,basic,pending,NO,,,,,,,,2026-06-29
