id,name,businessName,sector,subSector,industry,location,district,phone,email,website,source,score,enrichmentLevel,validationStatus,createdAt,slug,socialLinks,enriched,folder,stage,whatsapp,keyPeople_name,keyPeople_title,keyPeople_email,keyPeople_linkedin,keyPeople_phone,keyPeople_source,_sources
MG-768e7caf-125,Royal Mails Express,Royal Mails Express,Logistics,courier,logistics,"Wuse, Abuja",Wuse,+2348028256419,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,royal-mails-express,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-136,Soldan Nigeria Limited,Soldan Nigeria Limited,logistics,logistics,logistics,"Bwari, Abuja",Bwari,+2347062043677,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,soldan-nigeria-limited,Not searched,True,logistics/Soldan Nigeria Limited,discovered,YES,Name not publicly listed,Owner/Managing Director,,,,websearch,summary; registry; folder
MG-768e7caf-152,The Movers,The Movers,logistics,moving,logistics,"Garki, Abuja",Garki,+2347034364029,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,the-movers,Not searched,True,logistics/The Movers,discovered,YES,Joshua Charles,Company Manager,,,,websearch,summary; registry; folder
MG-768e7caf-035,Crystal Wheels,Crystal Wheels,Logistics,transport,logistics,"Wuse, Abuja",Wuse,+2348084068078,crystalwheelss@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,crystal-wheels,Not searched,True,,,YES,Yakub Adebayo,Chief Executive Officer,,https://linkedin.com/in/yakub-adebayo-4b1950327,+2348084068078,websearch,summary; folder
MG-768e7caf-048,Etienergy Services Limited,Etienergy Services Limited,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348039293154,etienergysl@yahoo.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,etienergy-services-limited,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder
MG-768e7caf-049,Extraextreme Ventures,Extraextreme Ventures,Logistics,movers,logistics,"Wuse, Abuja",Wuse,+2348120361465,extraextremeventures@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,extraextreme-ventures,Not searched,True,,,YES,Oghogho Obaseki,Chief Executive Officer,,,,websearch,summary; folder
MG-768e7caf-078,Krischek Haulage Services,Krischek Haulage Services,Logistics,haulage,logistics,"Jabi, Abuja",Jabi,+2347054571401,krischekengineering@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,krischek-haulage-services,Not searched,True,,,YES,Kris,Contact Person/Founder,,,,websearch,summary; folder
MG-768e7caf-081,Lea's RoadRunners,Lea's RoadRunners,Logistics,logistics,logistics,"Wuse, Abuja",Wuse,+2348149576700,leasplacee@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,leas-roadrunners,Not searched,True,,,YES,Ebiyemi Alero Ogunniyi,Managing Director,,https://linkedin.com/in/ebiyemi-alero-ogunniyi-3551b662,,websearch,summary; folder
MG-768e7caf-088,Moove Haulage,Moove Haulage,Logistics,haulage,logistics,"Dei Dei, Abuja",Dei Dei,+2347062296926,blekko101@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,moove-haulage,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-143,Tarana Logistics and Procurement Ltd,Tarana Logistics and Procurement Ltd,Logistics,logistics,logistics,"Gaduwa, Abuja",Gaduwa,+2348056206426,tarana.enitan@gmail.com,,finelib.com,65,basic,valid,2026-06-18T18:20:24.879385,tarana-logistics-and-procurement-ltd,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder
MG-768e7caf-144,Teekachi Nigeria Limited,Teekachi Nigeria Limited,logistics,haulage,logistics,"Maitama, Abuja",Maitama,+2348038490939,teekachinig@gmail.com,,businesslist,65,basic,valid,2026-06-17T10:00:00Z,teekachi-nigeria-limited,Not searched,True,logistics/Teekachi Nigeria Limited,discovered,YES,Name not publicly listed,Managing Director,,,,websearch,summary; registry; folder
MG-768e7caf-002,Abia Line Courier Services,Abia Line Courier Services,Logistics,courier,logistics,"Utako, Abuja",Utako,+2348037485226,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,abia-line-courier-services,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-003,Abitex Express,Abitex Express,Logistics,courier,logistics,"Jabi, Abuja",Jabi,+2348031372727,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,abitex-express,Not searched,True,,,YES,Gabriel Olagbemi Abiodun,Director,,,,websearch,summary; folder
MG-768e7caf-036,D & P Relocation Services,D & P Relocation Services,Logistics,movers,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348064652270,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,d-and-p-relocation-services,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-043,Domestic and General Cargo Ltd,Domestic and General Cargo Ltd,Logistics,haulage,logistics,"Gwarinpa, Abuja",Gwarinpa,+2348033244969,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,domestic-and-general-cargo-ltd,Not searched,True,,,YES,Name not publicly listed,Managing Director,,,,websearch,summary; folder
LOG-002,ANCAPS Logistics,,logistics,,,,Karu,+2347030704162,,,,,,,2026-06-17T10:00:00Z,,,,logistics/ANCAPS Logistics,discovered,,,,,,,,registry
LOG-008,Callmycab Services,,logistics,,,,Durumi,+2347083382017,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Callmycab Services,discovered,,,,,,,,registry
LOG-012,Travelwell Limited,,logistics,travel,,,Garki,+2348033142721,info@travelwell.com.ng,travelwell.com.ng,finelib.com,90,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Travelwell Limited,discovered,YES,Victoria Ajala,Managing Director,,https://ng.linkedin.com/in/victoria-ajala-96b6142a,,websearch,registry; folder
LOG-016,Quartz Link Resources Ltd,,logistics,courier,,,Wuse,+2348036201133,info@quartzlinkresources.com,https://quartzlinkresources.com/,corporate.org.ng,90,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Quartz Link Resources Ltd,discovered,NO,CEO / Managing Director,MD / CEO,,,+2348036201133,websearch,registry; folder; folder
LOG-023,Auto Best Trackers Nigeria,,logistics,gps-tracking,,,Kubwa,+2348093038718,,autobesttrackers.com.ng,businesslist,75,deep,valid,2026-06-17T10:00:00Z,,,,logistics/Auto Best Trackers Nigeria,discovered,YES,Saifullahi Adam Idris Tandama,Founder / CEO,,,,Facebook/websearch,registry; folder
LOG-025,Eaglenet Logistic Services Ltd,,logistics,,,,Airport Rd,+2348105570699,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Eaglenet Logistic Services Ltd,discovered,,,,,,,,registry
LOG-027,Alele Movers,,logistics,,,,Galadima,+2348111107037,,,,,,,2026-06-17T10:00:00Z,,,,logistics/Alele Movers,discovered,,,,,,,,registry
peace-mass-transit-limited,Peace Mass Transit Limited,Peace Mass Transit Limited,Logistics,Courier/Freight/Logistics,Logistics,"Lokoja, North-Central Nigeria",,07007322362,,,SearXNG North-Central logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
cross-country-limited,Cross Country Limited,Cross Country Limited,Logistics,Courier/Freight/Logistics,Logistics,"Lafia, North-Central Nigeria",,08028447950,,,SearXNG North-Central logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
ocenj-logistics,Ocenj Logistics,Ocenj Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2347066752649,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
bykemessengers,BykeMessengers,BykeMessengers,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,08039886701,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
aguxpress-logistics,AguXpress Logistics,AguXpress Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Awka, Southeast Nigeria",,07087673400,,https://www.aguxpress.com,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
prowise-logistics,Prowise Logistics,Prowise Logistics,Logistics,Courier/Transport/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,+2348149496307,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
keen-rides,KEEN Rides,KEEN Rides,Logistics,Courier/Freight/Logistics,Logistics,"Ado Ekiti, Southwest Nigeria",,08036284402,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
anthil-crest-limited,Anthil Crest Limited,Anthil Crest Limited,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348039645368,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
chisco-brothers-international,Chisco Brothers International,Chisco Brothers International,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2347088782104,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
derron-shipping-logistics,Derron Shipping and Logistics Ltd,Derron Shipping and Logistics Ltd,Logistics,maritime,Logistics,"Lagos, Nigeria",,+2348032269251,dsl@derronshipping.com,https://derronshipping.com,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
kos-deliveries,Kos Deliveries,Kos Deliveries,Logistics,Courier/Transport/Logistics,Logistics,"Akure, Southwest Nigeria",,+2348183460555,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
tranex-courier-onitsha,TRANEX Courier Onitsha,TRANEX Courier (Trans-Nationwide Express Plc),Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,08123682573,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
first-move-logistics,First Move Logistics,First Move Logistics,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,+2348085273309,,,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
mugathman-motors-logistics-ltd,Mugathman Motors & Logistics Ltd,Mugathman Motors & Logistics Ltd,Logistics,Logistics/Haulage,Logistics,"Kano, Northern Nigeria",,+2348033395299,,mugathmanmotors.com,websearch Northern logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
qwirck-logistics-ltd,Qwirck Logistics Ltd,Qwirck Logistics Ltd,Logistics,Courier/Freight/Logistics,Logistics,"Akure, Southwest Nigeria",,08072971066,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
ascent-transport-management,Ascent Transport Management,Ascent Transport Management,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,09033933118,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
courierplus-services,CourierPlus Services,CourierPlus Services,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,+2349038868669,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
nahco-logistics-services-limited,Nahco Logistics Services Limited,Nahco Logistics Services Limited,Logistics,Freight Forwarding/Customs Clearing,Logistics,"Lagos, Nigeria",,+2349099209056,info@nahcologistics.com,https://nahcologistics.com,websearch Lagos logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
speedpro-logistics,SpeedPro Logistics,SpeedPro Logistics,Logistics,Courier/Freight/Logistics,Logistics,"Oyo Town, Southwest Nigeria",,07075341836,,https://speedprologistics.com,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
harmony-transport-services-ltd,Harmony Transport Services Ltd,Harmony Transport Services Ltd,Logistics,Courier/Transport/Logistics,Logistics,"Ilorin, Southwest Nigeria",,+2348140685304,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
peculiar-golden-heritage-intl,Peculiar Golden Heritage Intl,Peculiar Golden Heritage Intl,Logistics,Courier/Freight/Logistics,Logistics,"Ifo, Southwest Nigeria",,08023425018,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
advance-logistics-services,Advance Logistics Services Ltd,Advance Logistics Services Ltd,Logistics,freight,Logistics,"Lagos, Nigeria",,+2348078929900,info@advancelogisticservices.com,https://advancelogisticservices.com,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
mfc-international-agencies-ltd,MFC International Agencies Ltd,MFC International Agencies Ltd,Logistics,Clearing & Forwarding,Logistics,"Calabar, South-South Nigeria",,+2348037195423,,,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
dhl-abakaliki,DHL Abakaliki,DHL International,Logistics,Courier/Freight/Logistics,Logistics,"Abakaliki, Southeast Nigeria",,07064771413,,https://www.dhl.com,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
red-star-express-fedex-onitsha,Red Star Express Fedex Onitsha,Red Star Express Fedex Plc,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,09062071819,,https://redstarplc.com,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
kay-unique-nigeria,Kay Unique Nigeria Ltd,Kay Unique Nigeria Ltd,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,+2348023500207,kayuniq@gmail.com,https://kayuniquenigerialtd.com.ng,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
speedaf-logistics,Speedaf Logistics,Speedaf Logistics,Logistics,Freight/Logistics,Logistics,"Port Harcourt, South-South Nigeria",,+2348000707070,,http://www.speedaf.com/,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
abc-cargo-express-onitsha,ABC Cargo Express Onitsha,ABC Cargo Express,Logistics,Courier/Freight/Logistics,Logistics,"Onitsha, Southeast Nigeria",,08142552426,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
dhl-office-ilesa,DHL Office Ilesa,DHL Office Ilesa,Logistics,Courier/Freight/Logistics,Logistics,"Ilesa, Southwest Nigeria",,08033529218,,https://www.dhl.com,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
tim-tali-transport,Tim Tali Transport,Tim Tali Transport,Logistics,Courier/Freight/Logistics,Logistics,"Jos, North-Central Nigeria",,08082726332,,,SearXNG North-Central logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
errande-ltd,Errande Ltd,Errande Ltd,Logistics,Logistics,Logistics,"Kaduna, Northern Nigeria",,07028163741,,,websearch Northern logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
gatec-technical-and-logistic-services,Gatec Technical and Logistic Services,Gatec Technical and Logistic Services,Logistics,Courier/Freight/Logistics,Logistics,"Agbara, Southwest Nigeria",,08068442058,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,NO,,,,,,,folder
steve-imafidon-and-sons-limited,Steve Imafidon And Sons Limited,Steve Imafidon And Sons Limited,Logistics,Freight/Logistics,Logistics,"Benin City, South-South Nigeria",,+2348053198000,,,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
trans-nationwide-express-plc,Trans Nationwide Express Plc,Trans Nationwide Express Plc,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348025697917,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
blue-link-logistics-ltd,Blue Link Logistics Ltd,Blue Link Logistics Ltd,Logistics,Logistics,Logistics,"Kaduna, Northern Nigeria",,08036382617,,,websearch Northern logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
ifex-express-limited,Ifex Express Limited,Ifex Express Limited,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348070591802,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
eclipse-delivery-services,Eclipse Delivery Services,Eclipse Delivery Services,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,+2348187154281,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
mds-logistics-limited,MDS Logistics Limited,MDS Logistics Limited,Logistics,Courier/Freight/Logistics,Logistics,"Ilorin, Southwest Nigeria",,08159890198,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder; folder
sunny-ebi-multi-systems-limited,Sunny-Ebi Multi Systems Limited,Sunny-Ebi Multi Systems Limited,Logistics,Oil & Gas Logistics,Logistics,"Warri, South-South Nigeria",,+2348064403149,,http://www.sunny-ebimultisystemsltd.com/,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
young-shall-grow-motors,Young Shall Grow Motors,Young Shall Grow Motors,Logistics,Courier/Freight/Logistics,Logistics,"Jos, North-Central Nigeria",,08065587947,,,SearXNG North-Central logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
o3-transport-services,O3 Transport Services,O3 Transport Services,Logistics,Courier/Freight/Logistics,Logistics,"Abeokuta, Southwest Nigeria",,08136413558,,,SearXNG Southwest logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
med-co,Med Co.,Med Co.,Logistics,Logistics,Logistics,"Kano, Northern Nigeria",,07036133681,,,websearch Northern logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
ocean-port-marine-logistics,Ocean and Port Marine Logistics Ltd,Ocean and Port Marine Logistics Ltd,Logistics,maritime,Logistics,"Lagos, Nigeria",,+2348033254977,,,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
halcyon-cavic-nigeria-limited,Halcyon Cavic Nigeria Limited,Halcyon Cavic Nigeria Limited,Logistics,Oil & Gas Logistics,Logistics,"Warri, South-South Nigeria",,+2349093020415,,www.halcyoncavic.com,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
bm-global-import-export,BM Global Import and Export Co Ltd,BM Global Import and Export Co Ltd,Logistics,customs clearing,Logistics,"Lagos, Nigeria",,+2348130010080,contacts@bmglobal.ng,https://bmglobal.ng,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
shoreline-logistics-nigeria-ltd,Shoreline Logistics Nigeria Ltd,Shoreline Logistics Nigeria Ltd,Logistics,Port/Marine Logistics,Logistics,"Calabar, South-South Nigeria",,+2348080261713,,,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
the-lords-express-limited,The Lords Express Limited,The Lords Express Limited,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,09099154832,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
gac-nigeria,GAC Nigeria,GAC Nigeria,Logistics,maritime,Logistics,"Lagos, Nigeria",,+2348054090033,,https://gac.com/nigeria,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,YES,,,,,,,folder
MG-768e7caf-165,Valgee Transport Services,,Logistics,transport,,,Wuse 2,+2349068652712,hi@valgee.com,valgee.com,finelib.com,90,deep,valid,2026-06-18T18:20:24.879385,,,,,,YES,Samuel Jok Gwott,Proprietor,,,,websearch,folder
lagos-logistics-limited,Lagos Logistics Limited,Lagos Logistics Limited,Logistics,Logistics Services,Logistics,"Lagos, Nigeria",,+2348137632121,,,websearch Lagos logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
tradeways-express-courier,Tradeways Express Courier,Tradeways Express - Courier Services,Logistics,Courier/Freight/Logistics,Logistics,"Owerri, Southeast Nigeria",,08039470559,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
universal-amity-emporium-ltd,Universal Amity Emporium Ltd,Universal Amity Emporium Ltd,Logistics,Courier/Transport/Logistics,Logistics,"Ilorin, Southwest Nigeria",,+2348108385747,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
chibyke-global-shipping-service,Chibyke Global Shipping Service,Chibyke Global Shipping Service,Logistics,Shipping/Freight,Logistics,"Onitsha, South-South Nigeria",,+2348037098314,,,websearch South-South logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
macdon-express-courier-services,MacDon Express Courier Services,MacDon Express Courier Services,Logistics,Courier/Freight/Logistics,Logistics,"Enugu, Southeast Nigeria",,08073270229,,,SearXNG Southeast logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
hammsville-logistics-ltd,Hammsville Logistics Ltd,Hammsville Logistics Ltd,Logistics,Courier/Transport/Logistics,Logistics,"Ibadan, Southwest Nigeria",,+2347052345167,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
southern-connect-limited,Southern Connect Limited,Southern Connect Limited,Logistics,Courier/Transport/Logistics,Logistics,"Akure, Southwest Nigeria",,+2347044440187,,,websearch Southwest logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
abc-transport,ABC Transport,ABC Transport,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2348142552437,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
whole-deliveries,Whole Deliveries,Whole Deliveries,Logistics,Courier/Freight/Logistics,Logistics,"Abuja, Nigeria",,+2349061844629,,,websearch Abuja logistics,50,basic,pending,2026-06-29,,,,,,NO,,,,,,,folder
abc-transport-shuttle-services,ABC Transport Shuttle Services,ABC Transport Shuttle Services,Logistics,Transport/Logistics,Logistics,"Kaduna, Northern Nigeria",,08034910292,,,websearch Northern logistics,50,basic,pending,2026-06-29,,,,,,YES,,,,,,,folder
wolid-international-services,Wolid International Services Ltd,Wolid International Services Ltd,Logistics,freight,Logistics,"Lagos, Nigeria",,+2347044064866,wolid_idowushipping@yahoo.com,https://wolidinternationalltd.net,SearXNG specialized logistics,50,basic,pending,2026-06-30,,,,,,UNKNOWN,,,,,,,folder
